target,ikkb,ikkg,pst,sting
sea,0,0,0,1
sec31,0,0,0,1
sec63,0,0,0,1
sec8,0,0,0,1
sept1,1,1,0,0
sesB,0,0,0,1
shi,1,1,0,1
skap,0,0,0,1
smid,0,0,0,1
snRNP-U1-C,0,0,1,0
snf,0,1,0,0
spen,1,0,0,0
spidey,0,0,1,0
spoon,0,0,1,0
srp,0,0,0,1
sta,0,0,0,1
sti,0,0,1,0
tai,1,1,0,0
te,0,0,0,1
ttk,1,0,0,0
tum,1,1,0,0
uex,0,0,0,1
vfl,1,1,0,0
vimar,0,0,0,1
wal,0,0,0,1
wfs1,0,0,0,1
wol,0,0,0,1
yin,0,0,0,1
yps,1,1,0,0
zwilch,0,0,0,1
